9,income,0.6318,0.634,0.6613
9,marital,0.9873,0.9748,0.9792
10,income,0.7264,0.756,0.7367
10,marital,0.9837,0.9709,0.9788
11,income,0.5991,0.6253,0.6233
11,marital,0.9884,0.976,0.979
12,income,0.6676,0.6854,0.7076
12,marital,0.9806,0.9638,0.964
13,income,0.6465,0.6811,0.6867
13,marital,0.9883,0.9718,0.975
14,income,0.6494,0.6471,0.6752
14,marital,0.9884,0.9688,0.9686
15,income,0.6426,0.6632,0.6822
15,marital,0.9884,0.9761,0.9758
16,income,0.659,0.6903,0.6953
16,marital,0.9878,0.9727,0.9746
17,income,0.7069,0.7273,0.7354
17,marital,0.9893,0.9737,0.9745
18,income,0.6336,0.6665,0.6716
18,marital,0.9885,0.97,0.9699
19,income,0.641,0.6522,0.679
19,marital,0.9894,0.97,0.9707
20,income,0.7253,0.7216,0.7673
20,marital,0.9901,0.9718,0.9721
21,income,0.6913,0.7138,0.7193
21,marital,0.9892,0.9712,0.9704
22,income,0.655,0.687,0.6952
22,marital,0.9889,0.9704,0.9713
23,income,0.6033,0.6058,0.6264
23,marital,0.989,0.9723,0.9727
24,income,0.7234,0.7187,0.7617
24,marital,0.9889,0.9666,0.9645
25,income,0.7121,0.6983,0.7391
25,marital,0.989,0.9659,0.9626
26,income,0.714,0.7292,0.75
26,marital,0.9887,0.9651,0.9602
27,income,0.6973,0.6732,0.713
27,marital,0.9893,0.9674,0.9654
28,income,0.6502,0.6595,0.6939
28,marital,0.9899,0.9686,0.9648
29,income,0.6991,0.7238,0.7327
29,marital,0.9854,0.9694,0.9666
30,income,0.6727,0.6538,0.6918
30,marital,0.9873,0.9699,0.9663
31,income,0.6514,0.6386,0.6766
31,marital,0.988,0.9589,0.9496
32,income,0.7313,0.7267,0.7353
32,marital,0.9895,0.9702,0.9649
33,income,0.7465,0.7443,0.7499
33,marital,0.9893,0.9654,0.9602
34,income,0.7502,0.7019,0.7381
34,marital,0.9891,0.966,0.9583
35,income,0.7525,0.7375,0.7438
35,marital,0.9899,0.9664,0.9591
36,income,0.7551,0.7372,0.7434
36,marital,0.9883,0.9651,0.9603
37,income,0.7561,0.7426,0.7476
37,marital,0.9859,0.9687,0.9624
38,income,0.7574,0.7343,0.7483
38,marital,0.9893,0.9656,0.9564
39,income,0.7581,0.7426,0.7468
39,marital,0.9865,0.9668,0.9603
40,income,0.7588,0.7456,0.7511
40,marital,0.9845,0.9649,0.9561
41,income,0.7597,0.7506,0.7544
41,marital,0.985,0.9678,0.9596
42,income,0.7605,0.7529,0.7562
42,marital,0.9864,0.9672,0.9566
43,income,0.7587,0.7462,0.7485
43,marital,0.9899,0.9721,0.961
44,income,0.7618,0.7597,0.7604
44,marital,0.9892,0.9654,0.9544
45,income,0.7657,0.7609,0.7607
45,marital,0.9888,0.967,0.9577
46,income,0.7611,0.7548,0.7567
46,marital,0.99,0.9657,0.9543
47,income,0.7611,0.7574,0.7571
47,marital,0.9882,0.9634,0.9527
48,income,0.7575,0.7587,0.7595
48,marital,0.9896,0.9629,0.9513
49,income,0.7609,0.7502,0.7516
49,marital,0.9898,0.9645,0.952
50,income,0.7599,0.7587,0.7574
50,marital,0.9903,0.9684,0.9559
51,income,0.759,0.753,0.7548
51,marital,0.9855,0.9678,0.9553
52,income,0.7626,0.7561,0.7553
52,marital,0.9896,0.9673,0.9537
53,income,0.7622,0.7567,0.7577
53,marital,0.989,0.9596,0.9424
54,income,0.7658,0.7578,0.7577
54,marital,0.987,0.9666,0.9543
55,income,0.7665,0.7676,0.7655
55,marital,0.9891,0.9578,0.9382
56,income,0.7728,0.7655,0.764
56,marital,0.9894,0.9612,0.9456
57,income,0.766,0.7612,0.7589
57,marital,0.9845,0.9641,0.9499
58,income,0.7737,0.7699,0.7672
58,marital,0.9885,0.9643,0.9475
59,income,0.7638,0.758,0.7556
59,marital,0.9902,0.9671,0.95
60,income,0.7636,0.7597,0.7559
60,marital,0.9885,0.9649,0.9494
61,income,0.7649,0.7629,0.7601
61,marital,0.9898,0.9602,0.9417
62,income,0.7636,0.7621,0.7612
62,marital,0.9884,0.9637,0.9488
63,income,0.7673,0.7629,0.7602
63,marital,0.9885,0.9558,0.9359
64,income,0.7706,0.7673,0.7642
64,marital,0.9885,0.9549,0.9351
65,income,0.7672,0.7648,0.7614
65,marital,0.9899,0.9653,0.9471
66,income,0.7639,0.7397,0.7429
66,marital,0.9893,0.9662,0.9475
67,income,0.7646,0.7516,0.7554
67,marital,0.9895,0.9675,0.9489
68,income,0.7633,0.7457,0.7513
68,marital,0.9881,0.9673,0.9477
69,income,0.7611,0.7476,0.7522
69,marital,0.9889,0.9601,0.94
70,income,0.7651,0.7491,0.7507
70,marital,0.9885,0.9541,0.9345
71,income,0.7603,0.7589,0.7541
71,marital,0.9826,0.9678,0.9404
72,income,0.7627,0.7606,0.7562
72,marital,0.9886,0.9552,0.9329
73,income,0.7683,0.7569,0.7537
73,marital,0.9882,0.9607,0.9396
74,income,0.7642,0.7608,0.7562
74,marital,0.9865,0.9567,0.9348
75,income,0.7585,0.7585,0.7574
75,marital,0.9899,0.9578,0.9338
76,income,0.7661,0.7611,0.7559
76,marital,0.9899,0.9608,0.9364
77,income,0.7726,0.7603,0.7573
77,marital,0.9893,0.9525,0.9284
78,income,0.7676,0.763,0.7592
78,marital,0.9893,0.9658,0.943
79,income,0.7708,0.7673,0.7597
79,marital,0.9887,0.9527,0.9287
80,income,0.7648,0.7631,0.7583
80,marital,0.9897,0.9543,0.9287
81,income,0.7671,0.7653,0.7573
81,marital,0.9866,0.9447,0.9126
82,income,0.7624,0.7578,0.7573
82,marital,0.9889,0.9555,0.9304
83,income,0.7731,0.7561,0.7562
83,marital,0.9895,0.9604,0.9386
84,income,0.7631,0.7589,0.7555
84,marital,0.9899,0.9555,0.9297
